service_date,day_type,bus,rail_boardings,total_rides
2024-11-28,U,190991,132382,323373
2024-11-29,W,344005,224635,568640
2024-11-30,A,308864,217565,526429
2024-12-01,U,251107,175212,426319
2024-12-02,W,554092,349175,903267
2024-12-03,W,607733,405908,1013641
2024-12-04,W,600576,411039,1011615
2024-12-05,W,564481,401576,966057
2024-12-06,W,559457,371522,930979
2024-12-07,A,384908,286352,671260
2024-12-08,U,310160,216292,526452
2024-12-09,W,585535,364276,949811
2024-12-10,W,597740,406353,1004093
2024-12-11,W,580091,398016,978107
2024-12-12,W,481459,350852,832311
2024-12-13,W,521773,360766,882539
2024-12-14,A,347954,262799,610753
2024-12-15,U,277186,198006,475192
2024-12-16,W,551435,342529,893964
2024-12-17,W,582711,391307,974018
2024-12-18,W,577854,382314,960168
2024-12-19,W,552524,373795,926319
2024-12-20,W,509530,326711,836241
2024-12-21,A,346988,234439,581427
2024-12-22,U,271433,188272,459705
2024-12-23,W,425982,267754,693736
2024-12-24,W,341225,181487,522712
2024-12-25,U,146592,86287,232879
2024-12-26,W,366721,225335,592056
2024-12-27,W,394689,245475,640164
2024-12-28,A,348599,222891,571490
2024-12-29,U,231003,158657,389660
2024-12-30,W,447644,285475,733119
2024-12-31,W,386206,281447,667653
2025-01-01,U,225844,192904,418748
2025-01-02,W,458775,286815,745590
2025-01-03,W,470436,290712,761148
2025-01-04,A,342619,216349,558968
2025-01-05,U,260559,156598,417157
2025-01-06,W,514719,325537,840256
2025-01-07,W,578221,379515,957736
2025-01-08,W,585761,381427,967188
2025-01-09,W,585049,377231,962280
2025-01-10,W,531028,320065,851093
2025-01-11,A,373278,231993,605271
2025-01-12,U,270457,167566,438023
2025-01-13,W,560632,350428,911060
2025-01-14,W,580195,389994,970189
2025-01-15,W,590263,388077,978340
2025-01-16,W,622511,403599,1026110
2025-01-17,W,607549,359582,967131
2025-01-18,A,384014,241519,625533
2025-01-19,U,238638,149337,387975
2025-01-20,W,279669,168638,448307
2025-01-21,W,316922,213964,530886
2025-01-22,W,539021,355811,894832
2025-01-23,W,598113,389055,987168
2025-01-24,W,555584,324370,879954
2025-01-25,A,384469,234734,619203
2025-01-26,U,285407,171484,456891
2025-01-27,W,601896,354963,956859
2025-01-28,W,646008,407799,1053807
2025-01-29,W,649484,408844,1058328
2025-01-30,W,641234,404454,1045688
2025-01-31,W,543000,316913,859913
2025-02-01,A,407712,237678,645390
2025-02-02,U,302902,176382,479284
